Epoch,Quantum_Loss,Classical_Loss
0,0.22364486080546847,0.11804001263634022
1,0.2105694655193982,0.11212139673101068
2,0.19841674729120098,0.10671533124669365
3,0.18713677422924116,0.10176813063589461
4,0.17667775815972597,0.09723205023870417
5,0.16698720179182655,0.09306467147738759
6,0.15801287045797632,0.08922832850098524
7,0.1497035846646343,0.08568958162131286
8,0.14200984022632526,0.08241873924837026
9,0.1348842700586612,0.07938942762518897
10,0.12828196610706485,0.07657820614779451
11,0.12216068190119,0.07396422517774125
12,0.11648093642521842,0.07152892281795832
13,0.1112060389315168,0.06925575698355263
14,0.1063020524750923,0.06712996915352193
15,0.10173771168793376,0.06513837636296511
16,0.09748430792626979,0.06326918823676222
17,0.0935155526021678,0.0615118461397059
18,0.0898074273732091,0.059856881801437826
19,0.08633802797398123,0.05829579305241764
20,0.0830874068547801,0.05682093457053753
21,0.08003741844349312,0.05542542178192678
22,0.07717156974725083,0.054103046281691464
23,0.07447487813349664,0.052848201340298336
24,0.07193373744471178,0.05165581623962982
25,0.06953579307625748,0.05052129834066233
26,0.06726982625383811,0.04944048192385209
27,0.0651256474602889,0.04840958296539643
28,0.06309399875860716,0.047425159119345354
29,0.06116646462078423,0.046484074268763095
30,0.05933539078475905,0.045583467090383745
31,0.05759381061231232,0.0447207231479212
32,0.05593537839910466,0.043893450090705555
33,0.05435430908657864,0.04309945558780118
34,0.0528453238380879,0.04233672767425541
35,0.05140360096380263,0.04160341722655222
36,0.05002473170718022,0.04089782231950204
37,0.04870468043752384,0.04021837424738696
38,0.04743974882648293,0.03956362501881031
39,0.04622654361992987,0.038932236157897954
40,0.04506194764953859,0.03832296866472234
41,0.0439430937599622,0.03773467400546722
42,0.042867341357357085,0.037166286018262135
43,0.04183225531289684,0.036616813634086726
44,0.04083558698076772,0.03608533432393206
45,0.039875257113898784,0.0355709881937308
46,0.03894934048241716,0.0350729726576192
47,0.03805605201959886,0.034590537628038695
48,0.03719373433802467,0.03412298116816502
49,0.036360846474868584,0.03366964555829173
50,0.03555595373986632,0.033229913733200195
51,0.03477771855267835,0.03280320605231216
52,0.03402489216817956,0.032388977368624346
53,0.03329630719882521,0.03198671436613661
54,0.032590870852745375,0.03159593313876743
55,0.03190755881474448,0.031216176986655318
56,0.031245409705000483,0.030847014408317424
57,0.030603520057081682,0.030488037269419052
58,0.029981039762995133,0.030138859130932418
59,0.029377167938435537,0.0297991137212628
60,0.028791149166277282,0.029468453538519904
61,0.028222270080709815,0.02914654857053668
62,0.02766985625831288,0.028833085121506244
63,0.027133269385849198,0.028527764735238804
64,0.02661190467766767,0.028230303206049943
65,0.026105188518394537,0.02794042966919276
66,0.025612576309079503,0.027657885763552534
67,0.025133550497193267,0.027382424860042828
68,0.024667618772868386,0.027113811349787353
69,0.02421431241555821,0.02685181998675003
70,0.023773184776885913,0.026596235279993382
71,0.023343809886894107,0.02634685093121065
72,0.022925781172177993,0.026103469313594124
73,0.022518710275543714,0.02586590098847715
74,0.022122225967856533,0.025633964256524297
75,0.021735973143676125,0.02540748474054703
76,0.021359611893094824,0.025186294997295824
77,0.02099281664294894,0.024970234155824427
78,0.02063527536123405,0.02475914758024433
79,0.020286688819158724,0.024552886554886785
80,0.019946769905807682,0.024351307990069883
81,0.01961524299087145,0.024154274146831304
82,0.019291843331334164,0.02396165237913365
83,0.018976316518400576,0.02377331489218297
84,0.018668417961299876,0.023589138515620438
85,0.018367912404915757,0.023409004490456166
86,0.018074573478481737,0.023232798268712964
87,0.017788183272833595,0.023060409324836044
88,0.01750853194394622,0.022891730978006626
89,0.017235417340688362,0.022726660224569754
90,0.01696864465491589,0.022565097579853775
91,0.016708026092197667,0.02240694692871898
92,0.01645338056161689,0.022252115384227816
93,0.016204533383232186,0.022100513153879137
94,0.01596131601190493,0.02195205341289406
95,0.015723565776315764,0.021806652184082398
96,0.01549112563209022,0.021664228223856316
97,0.015263843928050368,0.021524702913991747
98,0.015041574184690768,0.02138800015876988
99,0.014824174884051603,0.021254046287158948
100,0.014611509270232265,0.021122769959722912
101,0.014403445159851187,0.020994102079967276
102,0.014199854761810847,0.020867975709853936
103,0.014000614505781123,0.020744325989236756
104,0.013805604878860723,0.020623090058988
105,0.013614710269914888,0.020504206987602133
106,0.013427818821131941,0.020387617701078706
107,0.013244822286369513,0.020273264915900376
108,0.013065615895899808,0.02016109307493459
109,0.012890098227186267,0.020051048286099462
110,0.012718171081355074,0.01994307826364509
111,0.012549739365046945,0.019837132271911626
112,0.01238471097735657,0.01973316107143464
113,0.012222996701588818,0.01963111686727654
114,0.012064510101578154,0.019530953259470886
115,0.011909167422334839,0.0194326251954735
116,0.011756887494797546,0.01933608892452102
117,0.01160759164448638,0.019241301953803393
118,0.011461203603862656,0.019148223006363072
119,0.011317649428215103,0.01905681198063826
120,0.011176857414902135,0.01896702991157305
121,0.011038758025791228,0.018878838933221335
122,0.010903283812745516,0.018792202242775956
123,0.010770369346015569,0.018707084065958238
124,0.010639951145405483,0.018623449623706777
125,0.010511967614085231,0.0185412651001077
126,0.01038635897493301,0.018460497611511816
127,0.010263067209295222,0.018381115176786984
128,0.010142035998057585,0.018303086688656826
129,0.010023210664928077,0.01822638188607933
130,0.009906538121836745,0.018150971327621532
131,0.009791966816361821,0.018076826365788466
132,0.009679446681098207,0.01800391912226689
133,0.009568929084884848,0.01793222246404608
134,0.009460366785817133,0.017861709980379926
135,0.009353713885968031,0.017792355960556432
