Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct
0,1.5119292724414353,1.4599125068596326,51.0,49.4
1,1.5103413566858925,1.4589821934231901,,
2,1.5087685327976608,1.4580618844840243,,
3,1.507210702798132,1.457151488906605,,
4,1.5056677685183504,1.456250916051191,,
5,1.5041396316146782,1.4553600757778207,,
6,1.5026261935843068,1.454478878450143,,
7,1.501127355780716,1.45360723493913,,
8,1.4996430194290264,1.4527450566265816,,
9,1.4981730856412212,1.451892255408558,,
10,1.4967174554312968,1.4510487436985853,,
11,1.4952760297302599,1.450214434430768,,
12,1.4938487094010449,1.4493892410627418,,
13,1.492435395253255,1.4485730775784782,,
14,1.491035988057809,1.4477658584909492,,
15,1.4896503885614585,1.4469674988446515,,
16,1.4882784975011354,1.4461779142180196,,
17,1.4869202156181776,1.4453970207256333,,
18,1.4855754436723991,1.444624735020374,,
19,1.4842440824560164,1.4438609742953807,,
20,1.4829260328074063,1.4431056562859204,51.800000000000004,49.6
21,1.4816211956247196,1.4423586992710902,,
22,1.4803294718793052,1.4416200220754376,,
23,1.4790507626290126,1.4408895440703842,,
24,1.4777849690312814,1.4401671851756066,,
25,1.4765319923560754,1.4394528658602395,,
26,1.4752917339986464,1.4387465071439594,,
27,1.4740640954921134,1.438048030597992,,
28,1.4728489785198513,1.437357358345948,,
29,1.471646284927723,1.436674413064576,,
30,1.4704559167360869,1.435999117984392,,
31,1.4692777761516467,1.4353313968902044,,
32,1.4681117655791114,1.4346711741215135,,
33,1.4669577876326272,1.4340183745728161,,
34,1.4658157451470573,1.4333729236938113,,
35,1.4646855411890507,1.4327347474894698,,
36,1.463567079067901,1.4321037725200398,,
37,1.4624602623462135,1.4314799259009157,,
38,1.461364994850391,1.4308631353024577,,
39,1.460281180680899,1.4302533289496484,,
40,1.459208724222308,1.4296504356217126,53.2,50.8
41,1.4581475301531843,1.4290543846516133,,
42,1.4570975034557523,1.4284651059254687,,
43,1.456058549425318,1.427882529881865,,
44,1.4550305736795603,1.4273065875111175,,
45,1.4540134821675406,1.4267372103543898,,
46,1.4530071811785648,1.4261743305027803,,
47,1.4520115773508138,1.4256178805963133,,
48,1.451026577679765,1.4250677938228264,,
49,1.4500520895264135,1.4245240039168143,,
50,1.449088020625314,1.4239864451581645,,
51,1.4481342790923735,1.4234550523708642,,
52,1.447190773432454,1.4229297609215599,,
53,1.4462574125468073,1.4224105067181345,,
54,1.4453341057402502,1.4218972262081513,,
55,1.444420762728176,1.4213898563772478,,
56,1.4435172936433582,1.4208883347474803,,
57,1.442623609042541,1.4203925993755797,,
58,1.4417396199128363,1.419902588851177,,
59,1.4408652376779414,1.419418242294926,,
60,1.4400003742041263,1.4189394993566058,54.800000000000004,52.0
61,1.4391449418060343,1.4184663002131488,,
62,1.4382988532523289,1.4179985855666146,,
63,1.4374620217710763,1.417536296642102,,
64,1.4366343610549968,1.4170793751856436,,
65,1.4358157852664952,1.4166277634620013,,
66,1.4350062090425233,1.4161814042524432,,
67,1.4342055474992188,1.4157402408524642,,
68,1.4334137162364151,1.4153042170694816,,
69,1.4326306313419204,1.414873277220443,,
70,1.4318562093956337,1.4144473661294323,,
71,1.4310903674734776,1.4140264291252091,,
72,1.4303330231511866,1.4136104120387265,,
73,1.4295840945078482,1.4131992612006024,,
74,1.4288435001293376,1.4127929234385495,,
75,1.4281111591115632,1.4123913460747766,,
76,1.4273869910635297,1.4119944769233477,,
77,1.4266709161102342,1.4116022642875299,,
78,1.4259628548954342,1.4112146569570756,,
79,1.4252627285841992,1.4108316042055078,,
80,1.4245704588653423,1.4104530557873483,57.4,52.800000000000004
81,1.4238859679536884,1.4100789619353529,,
82,1.42320917859217,1.4097092733576853,,
83,1.4225400140537874,1.4093439412350781,,
84,1.421878398143417,1.4089829172179857,,
85,1.421224255199457,1.4086261534236937,,
86,1.4205775100953553,1.408273602433413,,
87,1.4199380882409605,1.4079252172893657,,
88,1.4193059155837626,1.4075809514918367,,
89,1.4186809186099854,1.407240758996211,,
90,1.4180630243455294,1.406904594209997,,
91,1.4174521603567953,1.406572411989832,,
92,1.4168482547513905,1.4062441676384896,,
93,1.4162512361786814,1.405919816901829,,
94,1.415661033830224,1.4055993159657845,,
95,1.4150775774400948,1.405282621453314,,
96,1.4145007972850754,1.404969690421335,,
97,1.413930624184739,1.404660480357668,,
98,1.4133669895013896,1.404354949177954,,
99,1.4128098251399337,1.404053055222573,,
100,1.4122590635476093,1.4037547572535622,59.599999999999994,54.6
101,1.411714637713611,1.4034600144515021,,
102,1.4111764811686167,1.4031687864124291,,
103,1.4106445279842053,1.4028810331447337,,
104,1.4101187127721888,1.4025967150660252,,
105,1.4095989706838061,1.4023157930000594,,
106,1.409085237408887,1.4020382281735742,,
107,1.4085774491748426,1.401763982213218,,
108,1.4080755427456284,1.4014930171424111,,
109,1.4075794554206016,1.4012252953782314,,
