Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct
0,1.5816959809912106,1.3804311933815077,35.79710144927537,54.637681159420296
1,1.5764344014832339,1.3788304619295517,,
2,1.571226596174997,1.3772488041265039,,
3,1.566072199164582,1.3756860074336597,,
4,1.5609708419623014,1.3741418609690488,,
5,1.5559221536225776,1.3726161555181267,,
6,1.5509257608752445,1.3711086835436141,,
7,1.5459812882561805,1.3696192391945012,,
8,1.5410883582371724,1.3681476183142465,,
9,1.5362465913549221,1.3666936184481957,,
10,1.5314556063391167,1.3652570388501963,,
11,1.526715020239445,1.3638376804884542,,
12,1.5220244485515275,1.3624353460506788,,
13,1.5173835053416365,1.3610498399484887,,
14,1.5127918033701362,1.3596809683210849,,
15,1.5082489542136073,1.3583285390382773,,
16,1.5037545683855258,1.3569923617028115,,
17,1.4993082554554922,1.3556722476520628,,
18,1.4949096241668864,1.3543680099590762,,
19,1.4905582825529495,1.353079463432987,,
20,1.4862538380511872,1.351806424618858,49.42028985507246,46.231884057971016
21,1.4819958976160519,1.350548711796941,,
22,1.477784067829889,1.3493061449813173,,
23,1.4736179550120385,1.3480785459180604,,
24,1.4694971653261049,1.346865738082807,,
25,1.465421304885328,1.3456675466778614,,
26,1.4613899798560088,1.344483798628763,,
27,1.4574027965589746,1.3433143225803967,,
28,1.4534593615690552,1.3421589488926116,,
29,1.4495592818125096,1.3410175096354087,,
30,1.445702164662422,1.3398898385836997,,
31,1.4418876180320113,1.3387757712116353,,
32,1.4381152504658425,1.3376751446865154,,
33,1.4343846712289356,1.336587797862347,,
34,1.4306954903937448,1.335513571272988,,
35,1.4270473189249946,1.3344523071249865,,
36,1.423439768762376,1.3334038492900069,,
37,1.41987245290109,1.3323680432969782,,
38,1.4163449854702272,1.3313447363239113,,
39,1.4128569818089955,1.3303337771894093,,
40,1.4094080585407875,1.3293350163438948,56.95652173913044,46.52173913043478
41,1.4059978336450838,1.3283483058605436,,
42,1.4026259265272207,1.3273734994259958,,
43,1.399291958086006,1.3264104523307683,,
44,1.3959955507791886,1.3254590214594542,,
45,1.3927363286868275,1.3245190652807066,,
46,1.3895139175725246,1.3235904438369739,,
47,1.3863279449425767,1.3226730187340696,,
48,1.3831780401030302,1.3217666531305274,,
49,1.380063834214689,1.3208712117267778,,
50,1.3769849603460511,1.3199865607541539,,
51,1.3739410535242498,1.3191125679637645,,
52,1.37093175078396,1.318249102615174,,
53,1.367956691214342,1.3173960354649554,,
54,1.365015516004019,1.3165532387551608,,
55,1.3621078684841266,1.3157205862015795,,
56,1.359233394169445,1.3148979529819815,,
57,1.3563917407976622,1.3140852157241898,,
58,1.3535825583667793,1.313282252494087,,
59,1.3508054991706901,1.3124889427835367,,
60,1.348060217832961,1.3117051674982128,64.78260869565217,55.072463768115945
61,1.3453463713388665,1.3109308089453704,,
62,1.3426636190656611,1.3101657508215554,,
63,1.3400116228111731,1.3094098782002437,,
64,1.337390046820709,1.3086630775194663,,
65,1.3347985578123325,1.3079252365693383,,
66,1.332236825000523,1.3071962444796124,,
67,1.3297045201182698,1.306475991707163,,
68,1.3272013174376205,1.3057643700234685,,
69,1.3247268937887209,1.3050612725020732,,
70,1.3222809285773822,1.3043665935060256,,
